,title,year,artist,img link
48,In Powder and Crinoline,1912,Kay Nielsen,https://uploads3.wikiart.org/images/kay-nielsen/in-powder-and-crinoline-1912-2.jpg
49,Tuning saws,1927,Oleksandr Bogomazov,https://uploads6.wikiart.org/images/oleksandr-bogomazov/tuning-saws-1927.jpg
50,"Ornamental Despair (Painting for Ian Curtis, After Chris Foss)",1994,Glenn Brown,https://uploads1.wikiart.org/images/glenn-brown/ornamental-despair-painting-for-ian-curtis-after-chris-foss-1994.jpg
51,"Alpilles, MP309",1976,Mario Prassinos,https://uploads5.wikiart.org/images/mario-prassinos/alpilles-mp309-1976.jpg
52,Frank Lloyd and His Family in Paradise Island,1972,Fernando Botero,https://uploads4.wikiart.org/images/fernando-botero/frank-lloyd-and-his-family-in-paradise-island.jpg
53,Embankments of the Seine in Paris,1907,Albert Marquet,https://uploads5.wikiart.org/images/albert-marquet/embankments-of-the-seine-in-paris-1907.jpg
54,The Good Samaritan,1563,Jacopo Bassano,https://uploads8.wikiart.org/images/jacopo-bassano/the-good-samaritan-1563.jpg
55,Child Head,XIX-XX cent.,Nicolae Tonitza,https://uploads5.wikiart.org/images/nicolae-tonitza/child-head.jpg
56,La Baigneuse,1910,Leon Spilliaert,https://uploads3.wikiart.org/images/leon-spilliaert/la-baigneuse-1910.jpg
57,Invention (Composition 31),1933,Rudolf Bauer,https://uploads3.wikiart.org/images/rudolf-bauer/invention-composition-31-1933.jpg
58,Uniting of the Principalities,1857,Theodor Aman,https://uploads8.wikiart.org/images/theodor-aman/uniting-of-the-principalities-1857.jpg
59,Last Supper (Coburg Panel),1500,Matthias Grünewald,https://uploads4.wikiart.org/images/matthias-grünewald/last-supper-coburg-panel.jpg
60,The Age,1990,Vela Zanetti,https://uploads4.wikiart.org/images/vela-zanetti/the-age-1990.jpg
61,It is True,1989,Terry Frost,https://uploads6.wikiart.org/images/terry-frost/it-is-true-1989.jpg
62,Where The Wild Things Are,XX-XXI cent.,Maurice Sendak,https://uploads3.wikiart.org/images/maurice-sendak/where-the-wild-things-are-1.jpg
63,Young Mother Sewing,1900,Mary Cassatt,https://uploads7.wikiart.org/images/mary-cassatt/young-mother-sewing-1900.jpg
64,Untitled (10/90),1990,Gunther Forg,https://uploads2.wikiart.org/images/gunther-forg/untitled-10-90-1990.jpg
65,Marilyn Monroe,XX cent.,Robert Silvers,https://uploads8.wikiart.org/images/robert-silvers/marilyn-monroe.jpg
66,Landscape,XIX cent.,Pericles Pantazis,https://uploads6.wikiart.org/images/p-ricl-s-pantazis/landscape.jpg
67,Ang Magbabayo (Pounding Rice),1979,Vicente Manansala,https://uploads2.wikiart.org/images/vicente-manansala/ang-magbabayo-pounding-rice-1979.jpg
68,"Clouds, Pretoria",XIX-XX cent.,Pieter Wenning,https://uploads0.wikiart.org/images/pieter-wenning/clouds-pretoria.jpg
69,Lighthouse of Marseille,XIX cent.,Pericles Pantazis,https://uploads2.wikiart.org/images/pericles-pantazis/lighthouse-of-marseille.jpg
70,The Fourteenth of July at Etretat,1899,Felix Vallotton,https://uploads6.wikiart.org/images/felix-vallotton/the-fourteenth-of-july-at-etretat-1899.jpg
71,Paris.Boulevard des Capucines.,1906,Konstantin Korovin,https://uploads5.wikiart.org/images/konstantin-korovin/paris-boulevard-des-capucines-1906.jpg
72,Jardín abandonado,1898,Santiago Rusinol,https://uploads0.wikiart.org/images/santiago-rusinol/jard-n-abandonado-1898.jpg
73,Le gramignaie al fiume,XIX-XX cent.,Niccolo Cannicci,https://uploads0.wikiart.org/images/niccolo-cannicci/le-gramignaie-al-fiume.jpg
74,The Bedroom,1659,Pieter de Hooch,https://uploads6.wikiart.org/images/pieter-de-hooch/the-bedroom.jpg
75,Levha - Hadis-i Şerîf,XV-XVI cent.,Sheikh Hamdullah,https://uploads4.wikiart.org/00129/images/pieter-de-hooch/the-bedroom.jpg
76,Portrait of Pig,1970,Jamie Wyeth,https://uploads6.wikiart.org/00142/images/pieter-de-hooch/the-bedroom.jpg
77,Uskudar in Snow,XIX-XX cent.,Hoca Ali Riza,https://uploads5.wikiart.org/images/sheikh-hamdullah/levha-hadis-i-er-f.jpg
78,Dominant-Blau,1964,Ernst Wilhelm Nay,https://uploads2.wikiart.org/images/jamie-wyeth/portrait-of-pig-1970.jpg
